SNo,State,Area,Region,Share,Compare
1,Rajasthan,"342,239",Western,10.41,Germany
2,Madhya Pradesh,"308,245",Central,9.37,Poland
3,Maharashtra,"307,713",Western,9.36,Poland
4,Uttar Pradesh,"240,928",Northern,7.33,United Kingdom
5,Jammu and Kashmir,"222,236",Northern,6.76,Romania
6,Gujarat,"196,024",Western,5.96,Senegal
7,Karnataka,"191,791",Southern,5.83,Kyrgyzstan
8,Andhra Pradesh,"160,205",Southern,4.87,Tunisia
9,Odisha,"155,707",Eastern,4.73,Bangladesh
10,Chhattisgarh,"135,191",Central,4.11,Tajikistan
11,Tamil Nadu,"130,058",Southern,3.95,Greece
12,Telangana,"114,840",Southern,3.49,Benin
13,Bihar,"94,163",Eastern,2.86,Malawi
14,West Bengal,"88,752",Eastern,2.7,Serbia
15,Arunachal Pradesh,"83,743",Northeastern,2.54,United Arab Emirates
16,Jharkhand,"79,714",Eastern,2.42,Austria
17,Assam,"78,438",Northeastern,2.38,Czech Republic
18,Himachal Pradesh,"55,673",Northern,1.7,Croatia
19,Uttarakhand,"53,483",Northern,1.62,Togo
20,Punjab,"50,362",Northern,1.53,Costa Rica
21,Haryana,"44,212",Northern,1.34,Denmark
22,Kerala,"38,863",Southern,1.18,Bhutan
23,Meghalaya,"22,429",Northeastern,0.68,Djibouti
24,Manipur,"22,327",Eastern,0.68,Belize
25,Mizoram,"21,081",Eastern,0.64,Israel
26,Nagaland,"16,579",Eastern,0.5,Swaziland
27,Tripura,"10,486",Eastern,0.31,Lebanon
28,Andaman and Nicobar Islands,"8,249",Bay of Bengal,0.25,Puerto Rico
29,Sikkim,"7,096",Northeastern,0.21,French Southern and Antarctic Lands
30,Goa,"3,702",Western,0.11,French Polynesia
31,Delhi,"1,483",Northern,0.04,Faroe Islands
32,Dadra and Nagar Haveli,491,Western,0.01,Andorra
33,Puducherry,479,Southern,0.01,Andorra
34,Chandigarh,114,Northern,0.003,Wallis and Futuna
35,Daman and Diu,112,Western,0.003,Montserrat
36,Lakshadweep,32,Arabian Sea,0.001,Macau
